date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:38	263/263	---M-Z	200	added ('OK')	text/plain	date:Tue,%2009%20Nov%202021%2014:46:37%20GMT	https://www.arteva.fr/robots.txt		(from )
14:46:38	156327/156327	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Nov%202021%2008:44:37%20GMT	https://www.arteva.fr/solution-edi/	/home/barry/websites/EDI/www.arteva.fr/solution-edi/index.html	(from )
14:46:41	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2009%20Nov%202021%2014:46:41%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/barry/websites/EDI/www.googletagmanager.com/gtm.05445.delayed	(from https://www.arteva.fr/solution-edi/)
14:46:45	43/43	---MC-	200	added ('OK')	image/gif	date:Tue,%2009%20Nov%202021%2014:46:44%20GMT	http://stats.webleads-tracker.com/101165934ns.gif	/home/barry/websites/EDI/stats.webleads-tracker.com/101165934ns.gif	(from https://www.arteva.fr/solution-edi/)
14:46:54	5842/5842	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Nov%202021%2014:46:51%20GMT	https://gmpg.org/xfn/11	/home/barry/websites/EDI/gmpg.org/xfn/11.html	(from https://www.arteva.fr/solution-edi/)
14:46:57	14380/14380	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jul%202020%2008:39:08%20GMT	https://www.arteva.fr/wp-content/themes/unbound/fonts/open-sans-v16-latin-regular.woff2	/home/barry/websites/EDI/www.arteva.fr/wp-content/themes/unbound/fonts/open-sans-v16-latin-regular.html	(from https://www.arteva.fr/solution-edi/)
14:47:07	15056/15056	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jul%202020%2008:39:08%20GMT	https://www.arteva.fr/wp-content/themes/unbound/fonts/open-sans-v16-latin-700.woff2	/home/barry/websites/EDI/www.arteva.fr/wp-content/themes/unbound/fonts/open-sans-v16-latin-700.html	(from https://www.arteva.fr/solution-edi/)
14:47:11	14880/14880	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jul%202020%2008:39:08%20GMT	https://www.arteva.fr/wp-content/themes/unbound/fonts/open-sans-v16-latin-600.woff2	/home/barry/websites/EDI/www.arteva.fr/wp-content/themes/unbound/fonts/open-sans-v16-latin-600.html	(from https://www.arteva.fr/solution-edi/)
14:47:13	45152/45152	---M-Z	200	added ('OK')	application/font-woff	date:Thu,%2016%20Jul%202020%2008:38:50%20GMT	https://www.arteva.fr/wp-content/plugins/js_composer/assets/css/lib/vc-entypo/fonts/vc_entypo.woff	/home/barry/websites/EDI/www.arteva.fr/wp-content/plugins/js_composer/assets/css/lib/vc-entypo/fonts/vc_entypo.woff	(from https://www.arteva.fr/solution-edi/)
14:47:13	7536/7536	---M-Z	200	added ('OK')	application/font-woff	date:Thu,%2016%20Jul%202020%2008:38:50%20GMT	https://www.arteva.fr/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.woff?5510888	/home/barry/websites/EDI/www.arteva.fr/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.woff	(from https://www.arteva.fr/solution-edi/)
14:47:15	77160/77160	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Jul%202020%2008:39:08%20GMT	https://www.arteva.fr/wp-content/themes/unbound/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/barry/websites/EDI/www.arteva.fr/wp-content/themes/unbound/fonts/fontawesome-webfont3e6e.html	(from https://www.arteva.fr/solution-edi/)
14:47:16	626972/626972	---MCZ	200	added ('OK')	application/font-woff	date:Thu,%2016%20Jul%202020%2008:38:49%20GMT	https://www.arteva.fr/wp-content/plugins/radiantthemes-addons/assets/fonts/icofont.woff	/home/barry/websites/EDI/www.arteva.fr/wp-content/plugins/radiantthemes-addons/assets/fonts/icofont.woff	(from https://www.arteva.fr/solution-edi/)
14:47:17	961/961	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2016%20Jul%202020%2008:39:10%20GMT	https://www.arteva.fr/wp-content/uploads/2018/11/close-envelope.svg	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2018/11/close-envelope.svg	(from https://www.arteva.fr/solution-edi/)
14:47:18	2008/2008	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2016%20Jul%202020%2008:39:10%20GMT	https://www.arteva.fr/wp-content/uploads/2018/11/phone-receiver.svg	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2018/11/phone-receiver.svg	(from https://www.arteva.fr/solution-edi/)
14:47:19	447/447	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jul%202020%2008:39:10%20GMT	https://www.arteva.fr/wp-content/uploads/2018/11/up-arrow11-e1542105013650.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2018/11/up-arrow11-e1542105013650.png	(from https://www.arteva.fr/solution-edi/)
14:47:22	5277/5277	---MC-	200	added ('OK')	text/css	date:Tue,%2009%20Nov%202021%2014:47:21%20GMT	https://fonts.googleapis.com/css?family=Rubik%3A300%2C400%2C500%2C700%2C900%2C300italic%2C400italic%2C500italic%2C700italic%2C900italic%7CPoppins%3A400%7COpen%20Sans%3A300%2C400%2C600%2C700%2C800%2C300italic%2C400italic%2C600italic%2C700italic%2C800italic%7CAbril%20Fatface%3Aregular&display=swap	/home/barry/websites/EDI/fonts.googleapis.com/cssb7ff.css	(from https://www.arteva.fr/solution-edi/)
14:47:24	89496/89496	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2022%20Apr%202021%2009:47:04%20GMT	https://www.arteva.fr/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	/home/barry/websites/EDI/www.arteva.fr/wp-includes/js/jquery/jquery.min9d52.js	(from https://www.arteva.fr/solution-edi/)
14:47:25	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2009%20Nov%202021%2014:47:24%20GMT	http://www.arteva.fr/	/home/barry/websites/EDI/www.arteva.fr/index.html	(from https://www.arteva.fr/solution-edi/)
14:47:29	39840/39840	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Nov%202021%2014:47:25%20GMT	http://www.google.com/	/home/barry/websites/EDI/www.google.com/index.html	(from https://www.arteva.fr/solution-edi/)
14:47:30	1597/1597	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Nov%202021%2014:47:25%20GMT	http://fonts.googleapis.com/	/home/barry/websites/EDI/fonts.googleapis.com/index.html	(from https://www.arteva.fr/solution-edi/)
14:47:30	1373339/1373339	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20May%202021%2017:56:13%20GMT	https://www.arteva.fr/wp-content/cache/min/1/1f692784e4806fc51aae043288d77900.css	/home/barry/websites/EDI/www.arteva.fr/wp-content/cache/min/1/1f692784e4806fc51aae043288d77900.css	(from https://www.arteva.fr/solution-edi/)
14:47:30	39489/39489	---MC-	200	added ('OK')	application/json	date:Tue,%2009%20Nov%202021%2014:47:24%20GMT	https://www.arteva.fr/wp-json/wp/v2/pages/8310	/home/barry/websites/EDI/www.arteva.fr/wp-json/wp/v2/pages/8310.json	(from https://www.arteva.fr/solution-edi/)
14:47:32	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Nov%202021%2014:47:32%20GMT	https://fonts.gstatic.com/	/home/barry/websites/EDI/fonts.gstatic.com/index.html	(from https://www.arteva.fr/solution-edi/)
14:47:33	59729/59729	---MC-	200	added ('OK')	application/rss+xml	etag:%2235647df55b7f3e96e9b75c5e6bc72b53%22	https://www.arteva.fr/feed/	/home/barry/websites/EDI/www.arteva.fr/feed/index.html	(from https://www.arteva.fr/solution-edi/)
